original,proposed,has_error,error_type,expected_repair,expected_answer,expected_action
4x + 9 = 69,x = 15,false,,4x + 9 = 69,x = 15,CONTINUE
x - 3 = 10,x = 7,true,sign_error,x = 13,x = 13,BACKTRACK
48 + 38 = 86,48 + 38 = 88,true,arithmetic_error,48 + 38 = 86,true,TOOL_EXECUTE
8 + 10 = 18,8 + 10 = 17,true,arithmetic_error,8 + 10 = 18,true,TOOL_EXECUTE
x - 12 = 12,x = 0,true,sign_error,x = 24,x = 24,BACKTRACK
x - 6 = 2,x = -4,true,sign_error,x = 8,x = 8,BACKTRACK
x - 9 = 11,x = 2,true,sign_error,x = 20,x = 20,BACKTRACK
x - 10 = 4,x = -6,true,sign_error,x = 14,x = 14,BACKTRACK
44 + 47 = 91,44 + 47 = 89,true,arithmetic_error,44 + 47 = 91,true,TOOL_EXECUTE
3(x + 10) = 51,3x + 10 = 51,true,algebraic_transformation_error,3x + 30 = 51,x = 7,REFORMALIZE
7x + 5 = 33,x = 4,false,,7x + 5 = 33,x = 4,CONTINUE
38 + 26 = 64,38 + 26 = 65,true,arithmetic_error,38 + 26 = 64,true,TOOL_EXECUTE
14 + 42 = 56,14 + 42 = 58,true,arithmetic_error,14 + 42 = 56,true,TOOL_EXECUTE
x - 15 = 4,x = -11,true,sign_error,x = 19,x = 19,BACKTRACK
x - 4 = 6,x = 2,true,sign_error,x = 10,x = 10,BACKTRACK
6x + 9 = 87,x = 13,false,,6x + 9 = 87,x = 13,CONTINUE
16 + 48 = 64,16 + 48 = 65,true,arithmetic_error,16 + 48 = 64,true,TOOL_EXECUTE
2(x + 9) = 26,2x + 9 = 26,true,algebraic_transformation_error,2x + 18 = 26,x = 4,REFORMALIZE
3(x + 7) = 27,3x + 7 = 27,true,algebraic_transformation_error,3x + 21 = 27,x = 2,REFORMALIZE
x - 15 = 6,x = -9,true,sign_error,x = 21,x = 21,BACKTRACK
44 + 28 = 72,44 + 28 = 70,true,arithmetic_error,44 + 28 = 72,true,TOOL_EXECUTE
15 + 9 = 24,15 + 9 = 26,true,arithmetic_error,15 + 9 = 24,true,TOOL_EXECUTE
9(x + 9) = 99,9x + 9 = 99,true,algebraic_transformation_error,9x + 81 = 99,x = 2,REFORMALIZE
3x + 11 = 26,x = 5,false,,3x + 11 = 26,x = 5,CONTINUE
34 + 17 = 51,34 + 17 = 49,true,arithmetic_error,34 + 17 = 51,true,TOOL_EXECUTE
x - 9 = 7,x = -2,true,sign_error,x = 16,x = 16,BACKTRACK
10 + 17 = 27,10 + 17 = 26,true,arithmetic_error,10 + 17 = 27,true,TOOL_EXECUTE
9x + 1 = 19,x = 2,false,,9x + 1 = 19,x = 2,CONTINUE
x - 10 = 12,x = 2,true,sign_error,x = 22,x = 22,BACKTRACK
7(x + 6) = 112,7x + 6 = 112,true,algebraic_transformation_error,7x + 42 = 112,x = 10,REFORMALIZE
x - 12 = 11,x = -1,true,sign_error,x = 23,x = 23,BACKTRACK
4x + 9 = 61,x = 13,false,,4x + 9 = 61,x = 13,CONTINUE
6(x + 11) = 126,6x + 11 = 126,true,algebraic_transformation_error,6x + 66 = 126,x = 10,REFORMALIZE
x - 13 = 15,x = 2,true,sign_error,x = 28,x = 28,BACKTRACK
6x + 9 = 93,x = 14,false,,6x + 9 = 93,x = 14,CONTINUE
26 + 18 = 44,26 + 18 = 42,true,arithmetic_error,26 + 18 = 44,true,TOOL_EXECUTE
2(x + 1) = 6,2x + 1 = 6,true,algebraic_transformation_error,2x + 2 = 6,x = 2,REFORMALIZE
7x + 8 = 113,x = 15,false,,7x + 8 = 113,x = 15,CONTINUE
9x + 9 = 36,x = 3,false,,9x + 9 = 36,x = 3,CONTINUE
8(x + 4) = 96,8x + 4 = 96,true,algebraic_transformation_error,8x + 32 = 96,x = 8,REFORMALIZE
4(x + 12) = 76,4x + 12 = 76,true,algebraic_transformation_error,4x + 48 = 76,x = 7,REFORMALIZE
3(x + 1) = 39,3x + 1 = 39,true,algebraic_transformation_error,3x + 3 = 39,x = 12,REFORMALIZE
9x + 2 = 38,x = 4,false,,9x + 2 = 38,x = 4,CONTINUE
x - 12 = 5,x = -7,true,sign_error,x = 17,x = 17,BACKTRACK
3x + 2 = 38,x = 12,false,,3x + 2 = 38,x = 12,CONTINUE
8x + 4 = 124,x = 15,false,,8x + 4 = 124,x = 15,CONTINUE
4(x + 12) = 56,4x + 12 = 56,true,algebraic_transformation_error,4x + 48 = 56,x = 2,REFORMALIZE
14 + 37 = 51,14 + 37 = 52,true,arithmetic_error,14 + 37 = 51,true,TOOL_EXECUTE
6(x + 1) = 84,6x + 1 = 84,true,algebraic_transformation_error,6x + 6 = 84,x = 13,REFORMALIZE
x - 7 = 4,x = -3,true,sign_error,x = 11,x = 11,BACKTRACK
